STATION_ID,USAF,WBAN,STATION_NAME,CTRY,STATE,LATITUDE,LONGITUDE,ELEVATION_M,BEGIN_DATE,END_DATE
42709099999,427090,99999,BURDWAN,IN,,23.233,87.85,30.0,19440101,20250824
42705599999,427055,99999,CALICUT,IN,,11.137,75.955,104.2,20100125,20250824
42812099999,428120,99999,CANNING,IN,,22.25,88.667,4.0,20090205,20250824
43315099999,433150,99999,CANNUR,IN,,11.833,75.333,18.0,19771015,20250824
43367099999,433670,99999,CAR NICOBAR,IN,,9.167,92.833,10.0,19730101,20250824
42795099999,427950,99999,CHAIBASA,IN,,22.55,85.817,226.0,19440101,20250824
42973099999,429730,99999,CHANDBALI,IN,,20.783,86.733,6.0,19440101,20250824
42105099999,421050,99999,CHANDIGARH(IAFB),IN,,30.733,76.883,347.0,19740101,20250824
43029099999,430290,99999,CHANDRAPUR,IN,,19.967,79.3,193.0,19440101,20250824
42414099999,424140,99999,CHAPARMUKH,IN,,26.2,92.517,66.0,19730103,20250824
42488099999,424880,99999,CHAPRA,IN,,25.783,84.733,58.0,20051019,20250824
43279099999,432790,99999,CHENNAI INTL,IN,,12.994,80.181,15.8,19440101,20250824
42515099999,425150,99999,CHERRAPUNJI,IN,,25.25,91.733,1313.0,19440101,20250824
43003099999,430030,99999,CHHATRAPATI SHIVAJI MAHARAJ INTL,IN,,19.089,72.868,11.3,19440101,20250824
42768099999,427680,99999,CHHINDWARA,IN,,22.1,79.0,685.0,20020814,20250824
43272099999,432720,99999,CHINTAMANI,IN,,13.2,78.067,857.0,20151208,20250824
43233099999,432330,99999,CHITRADURGA,IN,,14.233,76.433,733.0,19440101,20250824
42546099999,425460,99999,CHITTORGARH,IN,,24.883,74.633,404.0,20090205,20250824
42170099999,421700,99999,CHURU,IN,,28.25,74.917,291.0,19730101,20250824
43353099999,433530,99999,COCHIN,IN,,9.946,76.272,2.4,19440101,20250824
43321099999,433210,99999,COIMBATORE,IN,,11.031,77.044,403.6,19730101,20250824
42900099999,429000,99999,CONTAI,IN,,21.783,87.75,11.0,20020314,20250824
42403099999,424030,99999,COOCH BEHAR,IN,,26.333,89.467,43.0,19430220,20250824
43318099999,433180,99999,COONOOR,IN,,11.35,76.8,1747.0,19860214,20250824
43329099999,433290,99999,CUDDALORE,IN,,11.767,79.767,12.0,19440101,20250824
43241099999,432410,99999,CUDDAPAH,IN,,14.483,78.833,130.0,19440101,20250824
42970099999,429700,99999,CUTTACK,IN,,20.467,85.933,27.0,19440101,20250824
43150099999,431500,99999,CWC VISHAKHAPATNAM/WALTAIR,IN,,17.7,83.3,66.0,19440101,20250824
43001099999,430010,99999,DAHANU,IN,,19.967,72.717,5.0,19440101,20250824
42587099999,425870,99999,DALTONGANJ,IN,,24.05,84.067,221.0,19440101,20250824
42916099999,429160,99999,DAMAN,IN,,20.417,72.85,12.0,19780110,20250824
42674099999,426740,99999,DAMOH,IN,,23.833,79.45,371.0,20040603,20250824
42391099999,423910,99999,DARBHANGA,IN,,26.167,85.9,49.0,19440101,20250824
42460099999,424600,99999,DATIA,IN,,25.667,78.467,229.0,20020417,20250824
43230099999,432300,99999,DAVANGERE,IN,,14.5,75.917,620.0,20151208,20250824
42539099999,425390,99999,DEESA,IN,,24.2,72.2,136.0,19440101,20250824
42111099999,421110,99999,DEHRADUN,IN,,30.317,78.033,682.0,19440101,20250824
42588099999,425880,99999,DEHRI,IN,,24.917,84.183,107.0,19730101,20250824
42754099999,427540,99999,DEVI AHILYABAI HOLKAR,IN,,22.722,75.801,563.9,19440101,20250824
43301099999,433010,99999,DHARMAPURI,IN,,12.133,78.033,396.0,19771125,20250824
42062099999,420620,99999,DHARMSALA,IN,,32.267,76.383,1211.0,19730101,20250824
43200099999,432000,99999,DHARWAD,IN,,15.483,74.983,678.0,20151208,20250824
42404099999,424040,99999,DHUBRI,IN,,26.017,89.983,36.0,19440101,20250824
42811099999,428110,99999,DIAMOND HARBOUR,IN,,22.183,88.2,7.0,20011015,20250824
42314099999,423140,99999,DIBRUGARH,IN,,27.484,95.017,110.3,19420714,20250824
42901099999,429010,99999,DIGHA,IN,,21.617,87.5,6.0,20090204,20250824
42914099999,429140,99999,DIU APRT,IN,,20.715,70.922,9.1,20151207,20250824
42867099999,428670,99999,DR BABA SAHEB AMBEDKAR INTL,IN,,21.092,79.047,314.9,19440101,20250824
42876099999,428760,99999,DURG,IN,,21.183,81.283,293.0,20020315,20250824
42731099999,427310,99999,DWARKA,IN,,22.367,69.083,11.0,19440101,20250824
43338099999,433380,99999,ERODE,IN,,11.483,77.767,172.0,20190623,20250824
42395099999,423950,99999,FORBESGANJ,IN,,26.3,87.267,61.0,19730101,20250824
42372099999,423720,99999,FURSATGANJ AIRPORT,IN,,26.25,81.383,109.7,20130529,20250824
43201099999,432010,99999,GADAG,IN,,15.417,75.633,650.0,19440101,20250824
42654099999,426540,99999,GANDHINAGAR,IN,,23.233,72.717,82.0,20151207,20250824
42123099999,421230,99999,GANGANAGAR,IN,,29.917,73.917,177.0,19440101,20250824
42299099999,422990,99999,GANGTOK,IN,,27.333,88.617,1756.0,19740902,20250824
42591099999,425910,99999,GAYA,IN,,24.744,84.951,115.8,19421122,20250824
42482099999,424820,99999,GHAZIPUR,IN,,25.4,83.55,67.0,20010718,20250824
43194099999,431940,99999,GOA INTL,IN,,15.381,73.831,56.1,19730101,20250824
43192099999,431920,99999,GOA/PANJIM,IN,,15.483,73.817,58.4,19730101,20250824
42407099999,424070,99999,GOALPARA,IN,,26.183,90.633,38.0,19730102,20250824
